filename,description,theme,visual_quality
predictive_0000.jpg,The image depicts a futuristic smart city with modern architecture and green spaces integrated within a vibrant urban landscape.,Mobility,Flowing
predictive_0001.jpg,"The image depicts a vibrant and interconnected smart city incorporating technology, green energy, and urban infrastructure, all held within a pair of hands.",Mobility,Organic
predictive_0002.jpg,"The image depicts a vibrant smart city with interconnected digital features, modern architecture, and green spaces, illustrating a seamless integration of technology and urban life.",Mobility,Flowing
predictive_0003.jpg,"The image depicts a conceptual design of a smart city, showcasing various interconnected elements like energy, mobility, and governance within a hand-shaped graphic.",Mobility,Organic
predictive_0004.jpg,"The image depicts a futuristic urban landscape filled with sleek skyscrapers and integrated technology, showcasing a vibrant and interconnected city.",Mobility,Flowing
predictive_0005.jpg,"The image portrays a vibrant, illuminated smart city at night, interconnected through various digital networks and icons representing technology and data.",Data Infrastructure,Ordered
predictive_0006.jpg,The image showcases a bustling urban landscape with skyscrapers surrounded by lush greenery and busy roadways.,Mobility,Flowing
predictive_0007.jpg,"The image depicts a futuristic smart city featuring interconnected buildings, solar panels, and lush greenery alongside winding waterways.",Ecological Intelligence,Flowing
predictive_0008.jpg,"The image depicts a futuristic smart city bustling with advanced technology, including drones and digital interfaces integrated into its urban landscape.",Mobility,Flowing
predictive_0009.jpg,"The image depicts a futuristic cityscape with sleek buildings, flying vehicles, and a group of people interacting under a glowing digital sign promoting ""Smart Cities.""",Mobility,Flowing
predictive_0010.jpg,"The infographic outlines the future of smart cities, emphasizing sustainability, operational efficiency, and advanced technology to accommodate a growing population.",Governance,Ordered
predictive_0011.jpg,"The image depicts a futuristic urban environment with advanced infrastructure illuminated by digital elements, showcasing smart mobility solutions along a riverfront skyline.",Mobility,Flowing
predictive_0012.jpg,"The image showcases a futuristic cityscape at night, featuring sleek skyscrapers adorned with vibrant lights and intricate roadways weaving through the urban environment.",Mobility,Flowing
predictive_0013.jpg,"The image depicts a smart street with vehicles equipped with connectivity features, navigating through an organized urban environment.",Mobility,Ordered
predictive_0014.jpg,"The image depicts a futuristic city skyline with illuminated, digital building outlines and a grid-like terrain.",Data Infrastructure,Ordered
predictive_0015.jpg,"The image depicts a futuristic smart city with green spaces, high-rise buildings, and advanced transportation systems, including flying vehicles.",Mobility,Flowing
predictive_0016.jpg,"The image showcases a futuristic autonomous vehicle designed for smart urban transport, surrounded by greenery.",Mobility,Organic
predictive_0017.jpg,"The image illustrates a vibrant and interconnected smart city, showcasing various innovations for urban living.",Mobility,Ordered
predictive_0018.jpg,"The image showcases a futuristic urban environment featuring high-tech buildings, autonomous vehicles, and greenery integrated into the skyline.",Mobility,Flowing
predictive_0019.jpg,"A futuristic smart city is depicted within a globe held by a hand, surrounded by digital icons representing artificial intelligence and urban features.",Data Infrastructure,Flowing
predictive_0020.jpg,The image showcases a futuristic urban landscape featuring sleek autonomous vehicles amidst lush greenery and towering glass skyscrapers at dusk.,Mobility,Flowing
predictive_0021.jpg,"The image depicts a futuristic smart city with illuminated pathways and interconnected buildings, suggesting advanced technology and infrastructure.",Mobility,Ordered
predictive_0022.jpg,The image showcases a modern smart city design featuring interconnected skyscrapers surrounded by green spaces and water elements.,Mobility,Ordered
predictive_0023.jpg,"A vibrant and modern cityscape featuring green spaces, innovative architecture, and integrated pathways for pedestrian movement.",Mobility,Flowing
predictive_0024.jpg,"The image depicts a detailed model of a smart city, showcasing interconnected buildings, green spaces, and modern transportation systems.",Mobility,Ordered
predictive_0025.jpg,"The image showcases a complex, well-organized roundabout surrounded by vibrant landscaping and modern infrastructure, highlighting the flow of traffic and pedestrians in a smart city environment.",Mobility,Ordered
predictive_0026.jpg,"The image showcases a futuristic smart city divided into two halves, featuring renewable energy sources and advanced technology with robotic figures and AI elements.",Mobility,Flowing
predictive_0027.jpg,"The image depicts a futuristic skyline illuminated by digital overlays, suggesting a high-tech urban environment.",Data Infrastructure,Rigid
predictive_0028.jpg,The image depicts a futuristic cityscape with digital skyscrapers connected by a network of wireless signals.,Data Infrastructure,Ordered
predictive_0029.jpg,"The image features a futuristic self-service kiosk in a bustling urban environment, with pedestrians interacting with various digital displays.",Data Infrastructure,Ordered
predictive_0030.jpg,"The image depicts a sprawling urban layout with concentric circles and organized sectors, showcasing a futuristic smart city design.",Mobility,Ordered
predictive_0031.jpg,"The image depicts a futuristic smart city seamlessly integrated with a lush, green tree, symbolizing the harmony between urban development and nature.",Ecological Intelligence,Organic
