filename,description,theme,visual_quality
bbc_earth_thumb_0000.jpg,A person stands amidst lush green ferns and trees in a forest setting.,Ecological Intelligence,Organic
bbc_earth_thumb_0001.jpg,"The image depicts an illustrative representation of various fungi within a circular ecological context, highlighting their intricate structures and interactions.",Ecological Intelligence,Organic
bbc_earth_thumb_0002.jpg,The image features a stylized landscape with abstract trees and a figure standing in a verdant setting.,Resilience,Organic
bbc_earth_thumb_0003.jpg,"The image features towering, surrealistic fungi set against a striking, colorful sky.",Resilience,Organic
bbc_earth_thumb_0004.jpg,"The image showcases a vibrant artistic representation of various fungi within a circular design, emphasizing their ecological significance.",Ecological Intelligence,Organic
bbc_earth_thumb_0005.jpg,"The image showcases towering trees, their trunks covered in moss, with a canopy of lush green foliage above, creating a serene and immersive natural environment.",Resilience,Organic
bbc_earth_thumb_0006.jpg,The image depicts a whimsical forest scene with stylized trees and a figure interacting with the environment.,Ecological Intelligence,Organic
bbc_earth_thumb_0007.jpg,"The image showcases vibrant yellow and orange slime mold growing on a decaying log, illustrating the intricate interplay between decay and regeneration in nature.",Ecological Intelligence,Organic
bbc_earth_thumb_0008.jpg,The image captures a dense forest canopy with towering trees enveloped in vibrant green moss and lichen.,Resilience,Organic
bbc_earth_thumb_0009.jpg,"The image showcases a close-up of a termite, highlighting its intricate anatomy and texture.",Ecological Intelligence,Organic
bbc_earth_thumb_0010.jpg,"The image features an organic, textured form resembling a seed or egg with multiple small holes, resting on a natural surface.",Resilience,Organic
bbc_earth_thumb_0011.jpg,"The image features two individuals interacting, one demonstrating a glowing, colorful effect on another's shirt, set against a textured background.",Ecological Intelligence,Flowing
bbc_earth_thumb_0012.jpg,"The image features a person standing beside a large termitaria in a grassy landscape, indicating a focus on natural ecosystems.",Resilience,Organic
bbc_earth_thumb_0013.jpg,"Two marmots are perched on rocky terrain, observing their surroundings with alert expressions.",Ecological Intelligence,Organic
bbc_earth_thumb_0014.jpg,A Leafy Sea Dragon gracefully navigates through underwater vegetation in a vibrant marine habitat.,Ecological Intelligence,Flowing
bbc_earth_thumb_0015.jpg,"The image showcases a lush, green mountainous landscape with dense foliage and mist gently flowing through the treetops.",Resilience,Organic
bbc_earth_thumb_0016.jpg,"The image features a verdant forest floor covered with a dense layer of green foliage and ferns, illuminated by dappled sunlight filtering through tall trees.",Resilience,Organic
bbc_earth_thumb_0017.jpg,A close-up view of an ant navigating over twigs against a blurred sandy backdrop.,Resilience,Organic
bbc_earth_thumb_0018.jpg,"The image depicts a raging wildfire consuming a forest, leaving behind charred trees and a backdrop of intense flames.",Resilience,Organic
bbc_earth_thumb_0019.jpg,"The image depicts a landscape engulfed in fire, surrounded by smoke, highlighting the destructive impact of wildfires on natural ecology.",Resilience,Organic
bbc_earth_thumb_0020.jpg,"A man kneels on a barren section of land, surrounded by lush greenery in the background.",Resilience,Transitional
